               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.14209,            0.020797,            0.057533,                   0,                   0,                   0,                   0,             0.13051,            0.019133,            0.056455,              0.0721,              0.0031,              0.0031
                   1,             0.13041,            0.016156,            0.053781,          9.9206e-05,            0.011905,          5.3795e-05,          1.0759e-05,             0.12402,            0.017338,            0.050938,            0.043238,           0.0062376,           0.0062376
                   2,             0.12717,            0.012167,            0.051422,           0.0013393,             0.13946,           0.0012411,          0.00036492,             0.11882,            0.016735,            0.047611,            0.014312,           0.0093119,           0.0093119
                   3,             0.12475,            0.010702,            0.048352,           0.0021428,              0.2517,           0.0056347,           0.0016846,             0.12074,            0.014431,            0.044423,            0.009703,            0.009703,            0.009703
                   4,               0.127,            0.010743,            0.045035,           0.0037624,             0.43878,             0.20003,            0.072969,             0.11818,            0.014057,            0.041715,            0.009703,            0.009703,            0.009703
                   5,              0.1232,           0.0099688,            0.041416,           0.0023032,             0.33844,             0.23584,            0.092735,             0.11854,            0.013281,            0.038276,            0.009604,            0.009604,            0.009604
                   6,             0.12442,           0.0096242,             0.03941,           0.0032544,             0.39796,             0.19006,            0.040593,             0.11846,            0.012916,            0.033093,            0.009505,            0.009505,            0.009505
                   7,             0.11701,            0.009596,            0.037357,             0.48893,             0.19048,              0.2015,            0.079722,             0.11359,            0.013743,            0.035817,            0.009406,            0.009406,            0.009406
                   8,             0.12006,           0.0087039,            0.035123,             0.80559,             0.14286,             0.18984,            0.064328,             0.11655,            0.011627,            0.029646,            0.009307,            0.009307,            0.009307
                   9,             0.12026,           0.0087672,            0.031587,             0.76497,             0.11905,            0.058897,            0.017706,             0.11702,            0.012845,            0.027969,            0.009208,            0.009208,            0.009208
                  10,              0.1201,           0.0094914,            0.027274,             0.84229,             0.19048,             0.16988,            0.061243,             0.11138,            0.012621,            0.027496,            0.009109,            0.009109,            0.009109
                  11,             0.11657,            0.008909,            0.028654,              0.6932,             0.20238,             0.15357,            0.049898,             0.11032,            0.013117,            0.024313,             0.00901,             0.00901,             0.00901
                  12,             0.11585,           0.0086301,            0.026484,              0.6763,             0.11905,             0.13935,            0.055253,             0.10742,            0.013863,             0.02476,            0.008911,            0.008911,            0.008911
                  13,             0.11637,            0.009024,            0.027271,             0.67827,             0.13095,             0.14752,            0.058795,             0.10614,            0.014236,            0.029934,            0.008812,            0.008812,            0.008812
                  14,             0.11034,             0.01086,             0.02276,             0.66518,             0.15136,             0.13674,            0.069762,              0.1075,            0.013282,            0.025191,            0.008713,            0.008713,            0.008713
                  15,             0.10903,           0.0094715,            0.024055,             0.64779,             0.13095,             0.10425,            0.034983,              0.1022,            0.014242,            0.019575,            0.008614,            0.008614,            0.008614
                  16,              0.1075,             0.01039,            0.022554,             0.49784,             0.21702,             0.13174,            0.039756,             0.10034,            0.013368,            0.019119,            0.008515,            0.008515,            0.008515
                  17,              0.1137,           0.0095056,            0.019967,             0.69124,             0.17857,             0.16943,             0.03912,             0.10212,            0.013899,            0.019524,            0.008416,            0.008416,            0.008416
                  18,             0.11246,           0.0096995,            0.023316,             0.50692,             0.12457,             0.13251,            0.032217,             0.10386,            0.013406,            0.021364,            0.008317,            0.008317,            0.008317
                  19,             0.10786,           0.0099522,            0.020094,             0.67472,            0.071429,             0.16189,            0.040743,              0.1062,            0.013609,            0.019305,            0.008218,            0.008218,            0.008218
                  20,             0.10825,            0.009387,            0.021476,              0.5734,             0.12863,             0.21284,            0.045089,             0.10574,            0.013381,            0.020337,            0.008119,            0.008119,            0.008119
                  21,             0.10395,           0.0097463,            0.020525,             0.76417,             0.12343,             0.23782,            0.088312,              0.1021,            0.013792,            0.018313,             0.00802,             0.00802,             0.00802
                  22,             0.10205,           0.0096062,            0.024275,             0.88529,              0.1866,             0.30031,              0.1279,             0.10001,            0.013105,            0.020603,            0.007921,            0.007921,            0.007921
                  23,             0.10355,           0.0098088,            0.021365,             0.89674,             0.19048,             0.28165,            0.079921,            0.095752,            0.013207,            0.021274,            0.007822,            0.007822,            0.007822
                  24,            0.099276,            0.010843,            0.022185,             0.80198,             0.19063,             0.33303,            0.086828,             0.10309,             0.01399,            0.032284,            0.007723,            0.007723,            0.007723
                  25,             0.10503,           0.0091842,            0.019677,             0.90102,             0.10714,              0.2192,            0.071887,            0.095035,            0.015356,            0.030607,            0.007624,            0.007624,            0.007624
                  26,             0.10012,           0.0096011,            0.017698,             0.89912,             0.11905,             0.11301,            0.054418,             0.09726,            0.017142,            0.026591,            0.007525,            0.007525,            0.007525
                  27,             0.10166,           0.0088356,            0.021061,             0.90894,             0.11905,              0.1584,            0.052481,              0.0948,             0.01742,            0.023139,            0.007426,            0.007426,            0.007426
                  28,             0.10008,           0.0095617,            0.021418,             0.85478,             0.14981,             0.16463,            0.045335,            0.097623,            0.016011,            0.023619,            0.007327,            0.007327,            0.007327
                  29,             0.10132,           0.0092937,            0.019039,             0.50462,             0.22279,             0.18202,            0.036007,            0.097781,            0.015253,            0.019972,            0.007228,            0.007228,            0.007228
                  30,            0.096127,            0.009874,             0.02181,             0.67996,             0.20238,             0.20456,            0.070475,            0.096776,            0.013201,            0.019895,            0.007129,            0.007129,            0.007129
                  31,            0.094942,           0.0086032,             0.01969,             0.77896,              0.2551,             0.29997,            0.097237,            0.088335,            0.014554,            0.019551,             0.00703,             0.00703,             0.00703
                  32,            0.098954,           0.0090783,            0.018272,             0.86202,             0.21063,             0.25963,            0.060097,            0.096252,            0.013558,            0.021161,            0.006931,            0.006931,            0.006931
                  33,            0.098241,           0.0091872,            0.019474,             0.58921,             0.23129,             0.23333,            0.063845,            0.091158,            0.015599,            0.020677,            0.006832,            0.006832,            0.006832
                  34,            0.092157,           0.0097644,            0.017561,             0.92552,             0.20238,             0.33379,             0.13497,            0.090402,            0.015512,            0.020875,            0.006733,            0.006733,            0.006733
                  35,            0.097283,            0.009591,            0.019034,             0.37234,              0.2585,              0.1727,            0.060393,              0.1038,            0.013671,             0.02009,            0.006634,            0.006634,            0.006634
                  36,            0.095055,           0.0097063,            0.017388,             0.91958,             0.19048,             0.29846,             0.14206,             0.09314,            0.013566,            0.018979,            0.006535,            0.006535,            0.006535
                  37,            0.093907,            0.010398,            0.018891,             0.59698,             0.24866,             0.32782,             0.10857,            0.091662,            0.013383,            0.019432,            0.006436,            0.006436,            0.006436
                  38,            0.090079,           0.0096456,            0.019885,             0.84937,             0.21006,             0.33619,             0.12068,            0.082448,            0.015085,            0.018732,            0.006337,            0.006337,            0.006337
                  39,            0.093169,           0.0099219,            0.019808,             0.62083,             0.29096,             0.28336,             0.10792,            0.085827,            0.015231,            0.018071,            0.006238,            0.006238,            0.006238
                  40,            0.092495,           0.0096567,            0.015559,             0.37333,             0.20593,             0.17972,            0.071704,            0.087404,            0.015791,            0.019931,            0.006139,            0.006139,            0.006139
                  41,            0.092409,           0.0099065,            0.018851,             0.52549,              0.2309,              0.1078,            0.037461,            0.090674,            0.015211,            0.019226,             0.00604,             0.00604,             0.00604
                  42,            0.091084,           0.0097052,            0.018102,             0.65142,              0.2585,             0.21716,            0.075372,            0.087508,            0.014862,            0.018994,            0.005941,            0.005941,            0.005941
                  43,            0.088612,           0.0092632,            0.019148,             0.57221,             0.34112,             0.32103,             0.11466,            0.083485,            0.015038,            0.018048,            0.005842,            0.005842,            0.005842
                  44,            0.082821,            0.010059,             0.02068,             0.66333,              0.2466,             0.26683,             0.11379,            0.088054,            0.014402,            0.019337,            0.005743,            0.005743,            0.005743
                  45,            0.088622,           0.0096819,            0.019384,             0.60332,             0.26361,             0.24885,             0.11089,            0.087623,            0.016163,              0.0198,            0.005644,            0.005644,            0.005644
                  46,            0.086963,              0.0092,            0.018206,             0.72815,             0.24201,             0.27145,             0.11328,            0.087725,            0.014778,            0.019356,            0.005545,            0.005545,            0.005545
                  47,            0.086058,            0.010334,            0.017015,             0.68196,             0.29307,             0.32075,             0.13629,            0.083859,            0.015989,             0.01968,            0.005446,            0.005446,            0.005446
                  48,            0.085699,           0.0095872,            0.015327,             0.62308,             0.27891,             0.33293,             0.16861,            0.084043,             0.01523,             0.01833,            0.005347,            0.005347,            0.005347
                  49,            0.082073,            0.010243,             0.01774,             0.58725,             0.38265,             0.35403,             0.14611,            0.078202,            0.015947,            0.018377,            0.005248,            0.005248,            0.005248
                  50,            0.080761,           0.0098527,            0.016448,             0.70559,             0.28008,             0.37329,             0.12695,            0.080466,            0.015809,            0.019004,            0.005149,            0.005149,            0.005149
                  51,            0.082785,            0.010627,            0.017457,             0.63997,             0.34694,             0.37751,             0.12781,            0.081324,            0.016228,            0.019429,             0.00505,             0.00505,             0.00505
                  52,            0.078407,           0.0091991,            0.019289,             0.58466,              0.3074,             0.31631,             0.13335,            0.081257,            0.017675,            0.020349,            0.004951,            0.004951,            0.004951
                  53,            0.079752,            0.010177,            0.017954,             0.58682,             0.40646,              0.3302,             0.15999,            0.086225,            0.016057,            0.021162,            0.004852,            0.004852,            0.004852
                  54,            0.081809,            0.010957,            0.018303,             0.70526,             0.29932,             0.36874,             0.20197,            0.083094,            0.015049,            0.022304,            0.004753,            0.004753,            0.004753
                  55,            0.083007,           0.0096011,            0.017945,             0.60065,             0.28231,             0.34452,             0.18169,            0.081059,            0.014989,            0.020572,            0.004654,            0.004654,            0.004654
                  56,            0.082795,           0.0091676,            0.014324,             0.71683,             0.33271,             0.39018,             0.18501,            0.080195,             0.01552,            0.020302,            0.004555,            0.004555,            0.004555
                  57,            0.078783,           0.0095671,             0.01387,             0.79129,             0.29669,             0.39088,             0.14955,            0.084262,            0.014529,             0.01947,            0.004456,            0.004456,            0.004456
                  58,            0.080796,           0.0096461,            0.016006,             0.80283,             0.27891,             0.36395,             0.14551,            0.083627,            0.015096,            0.019502,            0.004357,            0.004357,            0.004357
                  59,            0.077706,            0.010745,            0.015702,             0.68425,             0.32446,             0.35972,              0.1898,            0.086154,            0.015642,            0.019229,            0.004258,            0.004258,            0.004258
                  60,            0.080124,           0.0092204,            0.017652,             0.71566,              0.3233,             0.37492,              0.1975,            0.084766,            0.015903,            0.018951,            0.004159,            0.004159,            0.004159
                  61,            0.077642,           0.0093432,            0.015255,             0.72673,             0.29151,             0.35441,             0.16091,            0.082204,            0.016115,              0.0186,             0.00406,             0.00406,             0.00406
                  62,            0.080363,           0.0097518,            0.013239,             0.75153,              0.3572,             0.41435,             0.16382,            0.081072,            0.015006,            0.017632,            0.003961,            0.003961,            0.003961
                  63,            0.079131,           0.0090558,            0.013617,               0.722,              0.3579,             0.42598,             0.17234,            0.082073,            0.013766,            0.017617,            0.003862,            0.003862,            0.003862
                  64,            0.078031,            0.010048,            0.016665,             0.97688,             0.23582,             0.34853,             0.13011,            0.088455,            0.013047,            0.018249,            0.003763,            0.003763,            0.003763
                  65,            0.078336,           0.0086879,            0.017705,             0.94498,             0.27551,             0.38822,             0.14994,            0.083697,            0.014585,            0.018238,            0.003664,            0.003664,            0.003664
                  66,            0.079164,            0.008528,            0.016576,             0.74622,             0.28401,             0.40706,             0.16269,            0.084464,            0.014376,            0.017983,            0.003565,            0.003565,            0.003565
                  67,            0.076153,           0.0095745,            0.016727,             0.70145,             0.29422,             0.35301,             0.14395,            0.084278,            0.014342,            0.017396,            0.003466,            0.003466,            0.003466
                  68,            0.077157,           0.0097992,            0.014194,             0.80023,             0.26701,             0.38696,             0.12762,            0.085551,            0.013994,            0.016573,            0.003367,            0.003367,            0.003367
                  69,            0.076214,           0.0089304,            0.015918,              0.7762,             0.30272,             0.36361,             0.14541,            0.083537,            0.013414,            0.015975,            0.003268,            0.003268,            0.003268
                  70,            0.073067,           0.0095381,            0.017248,             0.59535,             0.37415,             0.34922,             0.16677,            0.087556,            0.012762,            0.015943,            0.003169,            0.003169,            0.003169
                  71,            0.071541,            0.009944,            0.014786,             0.59907,             0.38891,             0.36172,             0.17054,            0.086194,            0.012773,            0.015636,             0.00307,             0.00307,             0.00307
                  72,            0.074457,           0.0091143,             0.01803,             0.63597,             0.40986,             0.37616,             0.16455,            0.085418,            0.012818,            0.015447,            0.002971,            0.002971,            0.002971
                  73,            0.068528,           0.0097731,            0.018342,             0.63773,             0.42177,             0.37489,             0.15834,            0.085863,            0.012994,            0.015393,            0.002872,            0.002872,            0.002872
                  74,            0.074051,            0.011009,            0.015479,             0.83078,             0.31463,             0.39997,             0.12495,            0.084153,             0.01297,            0.015261,            0.002773,            0.002773,            0.002773
                  75,            0.069486,           0.0097971,            0.016853,             0.79873,             0.32958,             0.39757,             0.14573,            0.082308,            0.013085,            0.015284,            0.002674,            0.002674,            0.002674
                  76,            0.069473,            0.010044,            0.016097,             0.79294,             0.30647,             0.39715,             0.13902,            0.083732,            0.012974,             0.01559,            0.002575,            0.002575,            0.002575
                  77,            0.067959,           0.0088256,            0.017052,             0.86413,             0.32558,             0.42368,             0.16855,            0.081781,            0.013239,            0.015747,            0.002476,            0.002476,            0.002476
                  78,            0.070272,           0.0099928,            0.015543,             0.82948,             0.32028,             0.41766,             0.15291,            0.079111,            0.013424,            0.016182,            0.002377,            0.002377,            0.002377
                  79,            0.067593,           0.0091886,            0.022424,             0.80614,             0.33127,             0.35515,             0.12934,            0.079702,            0.013189,            0.016878,            0.002278,            0.002278,            0.002278
                  80,            0.067098,           0.0093286,            0.014817,             0.83657,             0.35733,             0.35852,             0.12388,            0.081779,            0.012935,            0.017153,            0.002179,            0.002179,            0.002179
                  81,            0.066772,           0.0085345,            0.019039,              0.8238,             0.33844,             0.34649,            0.089326,            0.081802,            0.012966,            0.016785,             0.00208,             0.00208,             0.00208
                  82,            0.068482,           0.0096077,            0.018144,             0.77738,             0.30612,             0.33981,            0.091983,            0.081888,            0.013142,            0.016485,            0.001981,            0.001981,            0.001981
                  83,            0.066833,            0.010087,            0.014346,             0.75029,             0.29422,             0.32317,             0.11311,            0.081106,            0.013176,            0.016507,            0.001882,            0.001882,            0.001882
                  84,            0.066105,           0.0091511,            0.015661,             0.74543,             0.31803,             0.33047,             0.13095,            0.080702,            0.012882,            0.016522,            0.001783,            0.001783,            0.001783
                  85,            0.064116,            0.010743,            0.013431,              0.7943,             0.32643,              0.3571,             0.11685,            0.081748,             0.01247,             0.01677,            0.001684,            0.001684,            0.001684
                  86,             0.06408,            0.010201,            0.016784,              0.7955,             0.31357,             0.33709,             0.09957,            0.083448,            0.012396,            0.016681,            0.001585,            0.001585,            0.001585
                  87,             0.06762,            0.010042,            0.013778,             0.81387,             0.31221,              0.3315,             0.11345,            0.082633,            0.012333,            0.016436,            0.001486,            0.001486,            0.001486
                  88,            0.065133,            0.010276,            0.015121,             0.74505,             0.30752,             0.32165,             0.12479,            0.083317,            0.012229,            0.016468,            0.001387,            0.001387,            0.001387
                  89,            0.064375,           0.0098895,            0.015041,             0.82013,             0.30441,             0.32005,              0.1153,            0.083541,             0.01229,            0.016556,            0.001288,            0.001288,            0.001288
                  90,            0.061771,            0.010421,            0.015769,              0.7623,             0.28231,             0.29727,             0.12097,            0.084505,             0.01229,            0.016762,            0.001189,            0.001189,            0.001189
                  91,            0.063901,           0.0090021,            0.015139,             0.74306,             0.28231,             0.29671,             0.11787,            0.084585,            0.012293,            0.016897,             0.00109,             0.00109,             0.00109
                  92,            0.063316,            0.010004,             0.01428,             0.74027,             0.28231,             0.29864,            0.093955,            0.083027,            0.012293,            0.016791,            0.000991,            0.000991,            0.000991
                  93,            0.063189,            0.010061,            0.015813,             0.74008,             0.28245,             0.29988,             0.10006,            0.083072,            0.012336,            0.016514,            0.000892,            0.000892,            0.000892
                  94,            0.059523,           0.0095107,            0.015089,             0.74523,             0.29422,             0.31104,             0.12286,             0.08035,            0.012461,            0.016206,            0.000793,            0.000793,            0.000793
                  95,            0.061048,           0.0095445,            0.017605,             0.76462,             0.28231,             0.31252,             0.10566,            0.081927,            0.012488,            0.016184,            0.000694,            0.000694,            0.000694
                  96,            0.060586,           0.0097736,            0.016719,             0.81019,              0.2991,             0.32633,             0.11055,            0.081053,            0.012517,            0.016312,            0.000595,            0.000595,            0.000595
                  97,            0.059228,           0.0094605,            0.013879,             0.71784,             0.28231,             0.29941,             0.10925,            0.080271,            0.012563,            0.016238,            0.000496,            0.000496,            0.000496
                  98,            0.058652,           0.0098709,            0.012901,             0.72767,             0.28231,              0.2914,             0.10046,            0.080951,            0.012527,            0.016309,            0.000397,            0.000397,            0.000397
                  99,            0.059882,           0.0088195,            0.016708,             0.77573,             0.32993,             0.33601,             0.11592,            0.080625,            0.012629,            0.016358,            0.000298,            0.000298,            0.000298
